"sep=,"
STATUS,TASK,REACTION,ENANTIOMER,R1,R2,RCAT,RCH,STATIONARY_POINT,DIRECTORY,FLAGS,INXYZ,OUTXYZ,RUNTIME,STEP,HASH
Queued,GO,urea_tBu_Ph,N/A,H,Ph,,S,sub_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_S.vacuum\sub_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_S.vacuum\sub_cat_complex\input.xyz,,00:00:00,,ef06325ba32e73e6896b4bcd7135685f2c92fcbc20c8922f1474fd358f979e3e
Queued,TSRC,urea_tBu_Ph,R,H,Ph,,S,TSR,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_S.vacuum\TSR,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_S.vacuum\TSR\input.xyz,,00:00:00,,a2aa3987fabf6cc9c7e22c5b42b4e7f4294edfc679fb5b475c73061cefafb95d
Queued,TSRC,urea_tBu_Ph,S,H,Ph,,S,TSS,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_Ph_S.vacuum\TSS,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_Ph_S.vacuum\TSS\input.xyz,,00:00:00,,a52eb3c88282b5536dcf2d42ad9e0fd8e7b28ed95d097e31892b41306ed71f1d
Success,GO,urea_tBu_Ph,N/A,,,,O,cat,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\cat,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\cat\input.xyz,,07:25:37,FREQ,e3d80f3b1a65ef2248335f6e14d2b540e79f3882cfea534d8bebfa7ec9ab8e80
Running,GO,urea_tBu_Ph,R,H,tBu,,O,P1R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\P1R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\P1R_cat_complex\input.xyz,,00:44:01,FREQ,866987efab919431232b933eceb7c714f097a87262498acab50ed9e1ef931fa4
Running,GO,urea_tBu_Ph,S,H,tBu,,O,P1S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\P1S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\P1S_cat_complex\input.xyz,,00:19:18,FREQ,711f58f8bd073be0a3ad18c26d1f94ea62e79faff83f82f13e681b8cbdbad4b2
Success,GO,urea_tBu_Ph,N/A,H,tBu,,,P2,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\P2,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\P2\input.xyz,,01:42:29,FREQ,09c16c2cea11ada970257b14275bd17b2415f1f5d88c8d0ba5c18d94ebfee162
Success,GO,urea_tBu_Ph,R,H,tBu,,O,P2R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\P2R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\P2R_cat_complex\input.xyz,,39:43:02,FREQ,233b7088370e290dff760ab2a0eda7a94fa5711644602e33236324972af825f2
Success,GO,urea_tBu_Ph,S,H,tBu,,O,P2S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\P2S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\P2S_cat_complex\input.xyz,,37:29:52,FREQ,4004637466a693ab01b82b43f533df53e7636e00dbc73963e11d1abd982e01a1
Success,GO,urea_tBu_Ph,N/A,H,tBu,,,sub,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\sub,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\sub\input.xyz,,00:45:00,FREQ,178a71eb8aaa014318a096a3f978fe2aaaccc1b5f98b83ee03574a7425697aa4
Success,GO,urea_tBu_Ph,N/A,H,tBu,,O,sub_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\sub_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\sub_cat_complex\input.xyz,,27:44:20,FREQ,795a7056323637ae37f7063645b8be804046616041138aa6b537d8ac2d15475b
Running,TSRC,urea_tBu_Ph,R,H,tBu,,O,TSR,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\TSR,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\TSR\input.xyz,,00:57:05,FREQ,f788c728429e1cfe5c4261ba72629fcdfb602c2225e4de93b74fe5aa20f8431c
Running,TSRC,urea_tBu_Ph,S,H,tBu,,O,TSS,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_O.vacuum\TSS,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_O.vacuum\TSS\input.xyz,,01:00:50,FREQ,d5bd7f7f3a8a4925ee56ac66041fea0e2ffa6a5001bcf18ecf535ed2ca6da602
Queued,GO,urea_tBu_Ph,R,H,tBu,,S,P1R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\P1R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\P1R_cat_complex\input.xyz,,00:00:00,,becc4cb7472d397021b25aaee347277e250ee6bf7e7ce83c83b9b6c45e1c2a95
Queued,GO,urea_tBu_Ph,S,H,tBu,,S,P1S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\P1S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\P1S_cat_complex\input.xyz,,00:00:00,,2b1cb754a339835083b6f519d073c7925e1d310ecf1da18556dd2d179ec06d65
Queued,GO,urea_tBu_Ph,R,H,tBu,,S,P2R_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\P2R_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\P2R_cat_complex\input.xyz,,00:00:00,,44e1aaaedbd9eac2df45bf29ee28413abb3199d07d885ccaeaa4caf77e576253
Queued,GO,urea_tBu_Ph,S,H,tBu,,S,P2S_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\P2S_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\P2S_cat_complex\input.xyz,,00:00:00,,b92627f30ed23e47fe79881c8cebab015cfaffe024ccefc1e9ef7cee5e05b1b9
Queued,GO,urea_tBu_Ph,N/A,H,tBu,,S,sub_cat_complex,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\sub_cat_complex,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\sub_cat_complex\input.xyz,,00:00:00,,f898cfcc9d6d68e46b00aabd8d8f2c811c1bb6030ac34f0217fc35b3b75afd5b
Queued,TSRC,urea_tBu_Ph,R,H,tBu,,S,TSR,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\TSR,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\TSR\input.xyz,,00:00:00,,8013ecba2c3c289f23d3dca65fb6cda17df7e5d52eb5c32a11c2202ab266d83e
Queued,TSRC,urea_tBu_Ph,S,H,tBu,,S,TSS,D:\Users\Yuman\Desktop\MasterProject\results\urea_tBu_Ph.H_tBu_S.vacuum\TSS,,D:\Users\Yuman\Desktop\MasterProject\calculations_test\urea_tBu_Ph.H_tBu_S.vacuum\TSS\input.xyz,,00:00:00,,ee99e72211ceffa5bd0dd127911eb854de65652b16742783e6452987676ef53f
