"sep=,"
path,Eact,Gact,EDA_pauli,EDA_bonding,EDA_elstat,EDA_oi,AA_mulliken,AA_eldens,AA_hirshfeld,AA_voronoi,HOMO_coeff,HOMO_energy,LUMO_coeff,LUMO_energy
achiral_catalyst.H_tBu_AlF3.vacuum\sub_cat_complex.002,-0.002201077299734955,0.015324695530896548,0.09381549503094787,-0.0743707002207483,-0.09657275399584364,-0.06466908220564453,0.15731183247358338,127.14690633304018,0.04208985809519605,0.48409144405120275,0.02564616011064633,-0.28930934010207165,0.6692915741846006,-0.15453737690217845
achiral_catalyst.H_tBu_BF3.vacuum\sub_cat_complex.002,-0.000313177358533423,0.01743309896703149,0.13987263820538945,-0.046586247007681214,-0.09606384678382085,-0.08430392277350023,0.17162229844053822,127.14391041530229,0.04124497538648875,0.4990760470974229,0.0027315757007568284,-0.28009217256296076,0.6732388238556904,-0.14072142723394548
achiral_catalyst.H_tBu_I2.vacuum\sub_cat_complex.002,0.0013874760249210638,0.02239717189403745,0.03603916834778027,-0.016251251300061255,-0.025561783544219452,-0.020225099493573137,0.15922699609894053,127.15377371430152,0.03916359083474341,0.4821833485379816,0.018733318397507973,-0.19922699213575187,0.011425516897068928,-0.12657600780597383
achiral_catalyst.H_tBu_SnCl4.vacuum\sub_cat_complex.002,-0.0005698969030971668,0.02024328011517529,0.08100746469125082,-0.03074896133562482,-0.05978846321227138,-0.03823533067121082,0.16277871395474275,127.14955206335546,0.03805951099029936,0.48825709916185067,0.0005460085922758824,-0.2565466172434601,0.01433473750591408,-0.1421675788062474
achiral_catalyst.H_tBu_TiCl4.vacuum\sub_cat_complex.002,-0.0008922904469530479,0.019349426550786752,0.09159065454573856,-0.03606224799568564,-0.0721648978480971,-0.04138828032423449,0.15639178662456477,127.1510442000696,0.03817640511574283,0.48839738556649825,2.828932526216865e-05,-0.25273606290663636,0.38677695118795324,-0.1518115703799208
achiral_catalyst.H_tBu_ZnCl2.vacuum\sub_cat_complex,-0.0006125596936401578,0.01895409835471007,0.08057914839714339,-0.035092626078085234,-0.06924766593564868,-0.03766860631438029,0.15643308354521857,127.15062513328738,0.041394794283950764,0.4875525619439016,0.0005450541383043021,-0.23664837903940875,0.674458296901433,-0.13681724015767252
achiral_catalyst.H_Ph_AlF3.vacuum\sub_cat_complex.002,-0.0024836410228523675,0.014006143853592334,0.09709104274676153,-0.07850765046403115,-0.0999922043183119,-0.06889607315223327,0.17319489174174496,127.13872475328353,0.056617098008817424,0.4856695627047882,0.16470320899771934,-0.2574816527975531,0.6057596566287059,-0.16085037934192373
achiral_catalyst.H_Ph_BF3.vacuum\sub_cat_complex.002,-0.001868148078668419,0.016454797839020152,0.15551265143258275,-0.052020914134289116,-0.10575758358694998,-0.09572694198880849,0.19209889690013782,127.13519175820574,0.05489034606986254,0.4996208341015911,0.18524802364277415,-0.25096702797805664,0.5993399642670759,-0.15145052071268794
achiral_catalyst.H_Ph_I2.vacuum\sub_cat_complex.002,-0.00015923048607380252,0.020638359665681172,0.038061110459376366,-0.016942502712980537,-0.02694490928661253,-0.02158319526908486,0.18426075358284777,127.14688648683973,0.05219841961296667,0.48629649344462145,0.02269335440012744,-0.1980572080865649,0.5914026228629266,-0.1338438053653142
achiral_catalyst.H_Ph_SnCl4.vacuum\sub_cat_complex.002,-0.0022072487944928554,0.016321197331960136,0.09098988552263437,-0.033653834486334494,-0.0669560994447238,-0.044082163191480644,0.18789787351206844,127.14162424204252,0.05446620693318993,0.49419688137597406,0.19256167390231357,-0.24906290115361013,0.6003962287011211,-0.1485113210619429
achiral_catalyst.H_Ph_TiCl4.vacuum\sub_cat_complex.002,-0.002351117920484924,0.015797677779191055,0.09723733640292745,-0.03856957667563229,-0.07656087710176962,-0.04527798686007904,0.18310040938816208,127.14280730951073,0.054371700602287465,0.4929926262619717,0.19584012261426506,-0.24860294801325716,0.49122486040367064,-0.15505191256449216
achiral_catalyst.H_Ph_ZnCl2.vacuum\sub_cat_complex,-0.0019750032304433063,0.016659920859706467,0.08777414001399161,-0.039440206722741115,-0.07552322250609222,-0.04301998765080186,0.18017813503448377,127.14319919296173,0.05455011537330012,0.483622414543019,0.004141842080258211,-0.2321811056319143,0.599956678931521,-0.14794611456096568
achiral_catalyst.F_tBu_AlF3.vacuum\sub_cat_complex,-0.002153768630245523,0.017966190905844392,0.08603219531762218,-0.06394479140170149,-0.08354178444736249,-0.05969390667916892,0.0845724599271307,127.11063628334244,0.042152800258796974,0.479885269167486,0.34741465105287545,-0.2955643334754689,0.7142550816327832,-0.15335978901480624
achiral_catalyst.F_tBu_BF3.vacuum\sub_cat_complex,0.0006724131261943711,0.017738660623035862,0.028691679551602504,-0.013089242588584227,-0.023429647059657555,-0.013128121604527686,0.09229673836607599,127.11092806382646,0.03928748370735469,0.4853837608789551,0.45321445258622667,-0.2712455808816595,0.745226585143654,-0.11439273360627318
achiral_catalyst.F_tBu_I2.vacuum\sub_cat_complex,0.0009177100561359453,0.022152743394672214,0.023017092301468693,-0.010875595234988933,-0.016323981939308396,-0.01127782742223439,0.09180243745741734,127.11215387827217,0.03916321253139632,0.4812289115547661,0.006802190165217438,-0.21022359600997156,0.009897026621939108,-0.14118804114342362
achiral_catalyst.F_tBu_SnCl4.vacuum\sub_cat_complex,-0.00012504220740616745,0.015425650778763789,0.036752265352705635,-0.016043351633888744,-0.02661793051913719,-0.013699008633584555,0.09520218503298228,127.11516263764565,0.03939075552529858,0.48327525231405444,0.43323086865052546,-0.27306127267800273,0.006243277073949188,-0.15488562646379644
